ClaimID,CustomerID,PolicyID,ClaimAmount,ClaimDate,ClaimStatus,HospitalOrGarage
CL000127,C01240,P0029,1088562,2026-02-16,Approved,TVS Garage
CL000128,C01902,P0016,1196854,2026-05-05,Rejected,ABC Motors
CL000129,C04986,P0483,215548,2026-03-08,Submitted,XYZ Garage
CL000130,C03283,P0065,1192989,2026-05-20,Approved,NA
CL000131,C03032,P0206,1120770,2026-02-03,Approved,Apollo Hospital
CL000132,C03882,P0338,765402,2026-03-04,Submitted,Apollo Hospital
CL000133,C03675,P0316,857668,2026-04-15,Approved,XYZ Garage
CL000134,C03528,P0293,699782,2026-05-03,Approved,NA
CL000135,C02379,P0435,15108,2026-03-21,Approved,TVS Garage
CL000136,C04021,P0132,253740,2026-02-11,Rejected,Aster Hospital
CL000137,C00595,P0337,408206,2026-05-04,Submitted,XYZ Garage
CL000138,C02587,P0436,849726,2026-01-25,Approved,Apollo Hospital
CL000139,C04065,P0251,1040910,2026-02-20,Submitted,Aster Hospital
CL000140,C00601,P0255,734189,2026-01-16,Approved,ABC Motors
CL000141,C00706,P0388,377100,2026-01-12,Approved,NA
CL000142,C02733,P0427,149861,2026-02-20,Submitted,ABC Motors
CL000143,C01585,P0108,964896,2026-01-11,Approved,TVS Garage
CL000144,C01507,P0415,617401,2026-03-21,Rejected,ABC Motors
CL000145,C02348,P0282,1179,2026-03-11,Rejected,ABC Motors
CL000146,C00211,P0228,1122022,2026-04-17,Approved,Aster Hospital
CL000147,C02583,P0034,11775,2026-05-01,Rejected,TVS Garage
CL000148,C00625,P0399,150511,2026-05-01,Submitted,Apollo Hospital
CL000149,C04566,P0437,750270,2026-01-23,Rejected,NA
CL000150,C01958,P0493,350089,2026-05-18,Submitted,TVS Garage
CL000151,C00643,P0138,738516,2026-04-09,Approved,TVS Garage
CL000152,C00304,P0310,154877,2026-05-23,Rejected,XYZ Garage
CL000153,C00012,P0177,727278,2026-05-20,Submitted,Apollo Hospital
CL000154,C00782,P0165,948685,2026-03-08,Rejected,NA
CL000155,C03215,P0343,768023,2026-03-05,Submitted,NA
CL000156,C00959,P0472,836445,2026-01-13,Submitted,ABC Motors
CL000157,C03874,P0002,107070,2026-03-14,Approved,XYZ Garage
CL000158,C02014,P0457,27427,2026-03-21,Rejected,TVS Garage
CL000159,C00961,P0277,580425,2026-01-05,Approved,XYZ Garage
CL000160,C04473,P0077,374735,2026-01-21,Submitted,Apollo Hospital
CL000161,C01713,P0302,803410,2026-04-11,Approved,NA
CL000162,C00327,P0123,1078394,2026-04-06,Submitted,XYZ Garage
CL000163,C03272,P0351,585478,2026-01-06,Submitted,ABC Motors
CL000164,C04376,P0277,27104,2026-02-08,Rejected,TVS Garage
CL000165,C01290,P0312,709724,2026-01-24,Rejected,TVS Garage
CL000166,C03583,P0364,434369,2026-02-22,Submitted,Aster Hospital
CL000167,C02807,P0370,876610,2026-02-03,Approved,Apollo Hospital
CL000168,C01556,P0310,983353,2026-03-18,Rejected,Apollo Hospital
CL000169,C04122,P0465,1064735,2026-01-14,Rejected,ABC Motors
CL000170,C00349,P0259,1172026,2026-05-04,Approved,XYZ Garage
CL000171,C01378,P0022,247382,2026-01-24,Submitted,NA
CL000172,C02312,P0444,467318,2026-01-21,Approved,Aster Hospital
CL000173,C01190,P0416,818464,2026-04-07,Approved,Apollo Hospital
CL000174,C02747,P0276,579136,2026-05-22,Rejected,XYZ Garage
CL000175,C00386,P0176,342855,2026-04-13,Approved,Aster Hospital
CL000176,C00978,P0058,846735,2026-01-09,Rejected,ABC Motors
CL000177,C01302,P0076,38936,2026-03-22,Approved,XYZ Garage
CL000178,C03854,P0348,15701,2026-05-02,Rejected,TVS Garage
CL000179,C02977,P0365,585090,2026-03-17,Rejected,NA
CL000180,C00465,P0443,1116312,2026-02-05,Submitted,Aster Hospital
CL000181,C00655,P0228,134218,2026-03-16,Rejected,NA
CL000182,C00602,P0422,711847,2026-03-04,Submitted,TVS Garage
CL000183,C03451,P0449,1020043,2026-04-10,Rejected,Aster Hospital
CL000184,C03338,P0093,521507,2026-03-25,Submitted,XYZ Garage
CL000185,C03080,P0473,6821,2026-04-04,Approved,Apollo Hospital
CL000186,C01130,P0384,807076,2026-01-19,Submitted,XYZ Garage
CL000187,C02468,P0009,273084,2026-04-06,Rejected,XYZ Garage
CL000188,C03674,P0004,454156,2026-04-10,Submitted,ABC Motors
CL000189,C00397,P0170,109703,2026-04-11,Approved,Apollo Hospital
CL000190,C03246,P0203,501602,2026-04-22,Approved,TVS Garage
CL000191,C00361,P0067,1114381,2026-01-23,Submitted,NA
CL000192,C03514,P0137,17807,2026-05-20,Submitted,Apollo Hospital
CL000193,C00090,P0441,454730,2026-05-31,Approved,XYZ Garage
CL000194,C00969,P0085,124107,2026-03-02,Submitted,Apollo Hospital
CL000195,C01173,P0187,284651,2026-01-06,Submitted,TVS Garage
CL000196,C02777,P0081,420495,2026-04-28,Rejected,XYZ Garage
CL000197,C03830,P0357,769958,2026-03-01,Approved,XYZ Garage
CL000198,C01530,P0497,823971,2026-01-11,Approved,XYZ Garage
CL000199,C04370,P0221,91173,2026-02-04,Rejected,TVS Garage
CL000200,C04039,P0479,620238,2026-03-24,Rejected,TVS Garage
CL000201,C04838,P0488,288440,2026-01-12,Rejected,TVS Garage
CL000202,C04562,P0493,591381,2026-03-15,Rejected,Aster Hospital
CL000203,C04210,P0047,261792,2026-05-23,Approved,NA
CL000204,C04597,P0062,1150289,2026-04-10,Rejected,NA
CL000205,C02871,P0272,444256,2026-03-14,Rejected,TVS Garage
CL000206,C03262,P0208,330043,2026-02-12,Submitted,NA
CL000207,C03040,P0077,259679,2026-05-07,Submitted,ABC Motors
CL000208,C00429,P0162,855382,2026-04-08,Approved,Aster Hospital
CL000209,C03346,P0053,881801,2026-02-05,Rejected,XYZ Garage
CL000210,C03466,P0016,939779,2026-01-03,Rejected,ABC Motors
CL000211,C01264,P0388,885157,2026-04-14,Approved,Aster Hospital
CL000212,C01612,P0181,132885,2026-04-04,Submitted,TVS Garage
CL000213,C00223,P0037,786297,2026-02-20,Submitted,Apollo Hospital
CL000214,C00556,P0226,484182,2026-01-24,Rejected,ABC Motors
CL000215,C00770,P0162,888612,2026-01-14,Rejected,XYZ Garage
CL000216,C03605,P0293,130684,2026-04-06,Approved,Aster Hospital
CL000217,C02095,P0155,158398,2026-02-23,Approved,XYZ Garage
CL000218,C02674,P0158,928649,2026-05-26,Rejected,Apollo Hospital
CL000219,C03076,P0496,555097,2026-04-04,Approved,Apollo Hospital
CL000220,C02621,P0356,981498,2026-05-30,Approved,TVS Garage
CL000221,C03771,P0064,168671,2026-05-15,Submitted,XYZ Garage
CL000222,C04355,P0204,912689,2026-03-18,Submitted,ABC Motors
CL000223,C04758,P0110,902115,2026-03-26,Rejected,Apollo Hospital
CL000224,C04537,P0121,409542,2026-03-24,Submitted,XYZ Garage
CL000225,C04055,P0136,1174495,2026-04-28,Rejected,XYZ Garage
CL000226,C00057,P0192,983950,2026-01-13,Approved,Aster Hospital
CL000227,C03918,P0434,995150,2026-01-23,Submitted,TVS Garage
CL000228,C02002,P0439,13539,2026-01-26,Submitted,Aster Hospital
CL000229,C01344,P0014,755724,2026-04-21,Rejected,Aster Hospital
CL000230,C01778,P0098,302269,2026-05-03,Approved,NA
CL000231,C01092,P0108,1186986,2026-04-14,Rejected,TVS Garage
CL000232,C00328,P0096,1176812,2026-02-04,Rejected,Aster Hospital
CL000233,C01343,P0418,828920,2026-04-28,Rejected,XYZ Garage
CL000234,C04864,P0335,392814,2026-03-08,Approved,ABC Motors
CL000235,C03879,P0471,497515,2026-02-10,Approved,NA
CL000236,C04383,P0445,710147,2026-02-06,Approved,Aster Hospital
CL000237,C01953,P0352,383438,2026-01-06,Submitted,Apollo Hospital
CL000238,C02060,P0353,1278,2026-01-17,Rejected,XYZ Garage
CL000239,C01548,P0117,368394,2026-05-13,Rejected,TVS Garage
CL000240,C01133,P0109,623691,2026-05-07,Submitted,Apollo Hospital
CL000241,C04954,P0303,1102573,2026-02-08,Submitted,Apollo Hospital
CL000242,C03959,P0170,674358,2026-01-22,Rejected,TVS Garage
CL000243,C02803,P0065,816800,2026-01-15,Rejected,TVS Garage
CL000244,C03576,P0292,146626,2026-02-21,Submitted,Aster Hospital
CL000245,C01019,P0016,8927,2026-04-11,Rejected,Aster Hospital
CL000246,C01749,P0345,325482,2026-02-17,Rejected,NA
CL000247,C01234,P0468,270024,2026-05-07,Rejected,ABC Motors
CL000248,C03825,P0112,428298,2026-01-20,Rejected,NA
CL000249,C04148,P0359,71820,2026-04-12,Rejected,TVS Garage
CL000250,C03917,P0015,929933,2026-01-01,Approved,XYZ Garage
CL000251,C02962,P0027,500206,2026-04-07,Approved,TVS Garage
CL000252,C02566,P0087,1056755,2026-03-19,Approved,NA
CL000253,C02357,P0044,79839,2026-05-02,Submitted,TVS Garage
CL000254,C00440,P0068,1041311,2026-03-11,Approved,NA
CL000255,C03559,P0243,770285,2026-05-10,Approved,ABC Motors
CL000256,C03715,P0216,289819,2026-04-06,Submitted,Apollo Hospital
CL000257,C03521,P0426,336336,2026-01-04,Approved,Aster Hospital
CL000258,C03317,P0098,1067101,2026-04-02,Submitted,ABC Motors
CL000259,C02150,P0485,864236,2026-01-19,Rejected,XYZ Garage
CL000260,C03669,P0137,661731,2026-05-05,Submitted,XYZ Garage
CL000261,C01712,P0054,1097220,2026-02-25,Submitted,NA
CL000262,C04676,P0348,1016871,2026-05-28,Submitted,NA
CL000263,C02276,P0432,163291,2026-03-07,Submitted,NA
CL000264,C04146,P0219,73103,2026-05-31,Submitted,XYZ Garage
CL000265,C02581,P0417,658630,2026-01-04,Rejected,XYZ Garage
CL000266,C01701,P0074,875398,2026-04-22,Rejected,Aster Hospital
CL000267,C01045,P0068,467473,2026-03-07,Rejected,Apollo Hospital
CL000268,C01072,P0052,330144,2026-05-21,Submitted,NA
CL000269,C04372,P0413,157510,2026-01-27,Rejected,XYZ Garage
CL000270,C02362,P0288,712845,2026-02-28,Rejected,Apollo Hospital
CL000271,C00034,P0359,154583,2026-02-16,Submitted,ABC Motors
CL000272,C03580,P0380,343567,2026-02-05,Approved,XYZ Garage
CL000273,C04351,P0361,638923,2026-05-08,Rejected,Aster Hospital
CL000274,C01324,P0175,835019,2026-04-29,Submitted,XYZ Garage
CL000275,C04028,P0033,1077660,2026-05-09,Submitted,Aster Hospital
CL000276,C01055,P0105,945245,2026-05-15,Submitted,XYZ Garage
CL000277,C03958,P0030,692698,2026-05-20,Rejected,Apollo Hospital
CL000278,C03178,P0268,104758,2026-04-09,Submitted,Apollo Hospital
CL000279,C01638,P0358,536650,2026-05-28,Submitted,TVS Garage
CL000280,C03284,P0157,981499,2026-05-28,Submitted,XYZ Garage
CL000281,C02221,P0201,52383,2026-03-25,Submitted,ABC Motors
CL000282,C03636,P0320,565845,2026-05-26,Rejected,Aster Hospital
CL000283,C04437,P0124,8774,2026-04-24,Approved,Aster Hospital
CL000284,C03236,P0412,251253,2026-01-13,Submitted,Apollo Hospital
CL000285,C04702,P0451,296087,2026-04-17,Approved,ABC Motors
CL000286,C03284,P0068,16537,2026-01-26,Rejected,TVS Garage
CL000287,C02920,P0462,669269,2026-04-26,Submitted,XYZ Garage
CL000288,C03329,P0487,583553,2026-03-26,Rejected,NA
CL000289,C04283,P0485,836918,2026-03-24,Rejected,TVS Garage
CL000290,C04044,P0181,210455,2026-02-14,Rejected,ABC Motors
CL000291,C03531,P0141,12997,2026-01-02,Approved,ABC Motors
CL000292,C04291,P0229,708953,2026-05-14,Rejected,XYZ Garage
CL000293,C01088,P0150,121564,2026-04-02,Approved,ABC Motors
CL000294,C03135,P0181,536516,2026-03-25,Approved,Aster Hospital
CL000295,C01435,P0457,539313,2026-03-19,Rejected,Apollo Hospital
CL000296,C04197,P0302,991504,2026-03-17,Approved,Aster Hospital
CL000297,C01653,P0104,1110988,2026-04-15,Submitted,ABC Motors
CL000298,C00140,P0263,490435,2026-03-23,Rejected,Apollo Hospital
CL000299,C00521,P0232,42691,2026-03-04,Rejected,Aster Hospital
CL000300,C00374,P0452,626578,2026-03-10,Approved,Aster Hospital
CL000301,C04200,P0330,863374,2026-01-16,Approved,Apollo Hospital
CL000302,C02727,P0375,102735,2026-05-19,Submitted,NA
CL000303,C04381,P0115,64746,2026-03-13,Submitted,Apollo Hospital
CL000304,C01742,P0138,26409,2026-05-30,Rejected,NA
CL000305,C00543,P0422,998469,2026-05-05,Submitted,ABC Motors
CL000306,C01106,P0431,572968,2026-03-28,Approved,XYZ Garage
CL000307,C02202,P0057,440866,2026-04-03,Rejected,XYZ Garage
CL000308,C02215,P0270,28645,2026-03-18,Rejected,Apollo Hospital
CL000309,C03802,P0105,743260,2026-04-07,Submitted,ABC Motors
CL000310,C02451,P0261,30697,2026-05-27,Rejected,ABC Motors
CL000311,C01825,P0294,527835,2026-01-05,Rejected,XYZ Garage
CL000312,C04494,P0024,295347,2026-04-21,Approved,Aster Hospital
CL000313,C02056,P0139,309572,2026-01-12,Approved,Apollo Hospital
CL000314,C02899,P0467,1113426,2026-02-05,Rejected,XYZ Garage
CL000315,C02297,P0313,37830,2026-04-30,Approved,TVS Garage
CL000316,C01259,P0021,477803,2026-01-25,Submitted,NA
CL000317,C03605,P0341,965346,2026-05-01,Rejected,XYZ Garage
CL000318,C03579,P0236,761373,2026-04-04,Approved,NA
CL000319,C02530,P0035,1077856,2026-04-19,Submitted,TVS Garage
CL000320,C04282,P0370,334377,2026-02-21,Approved,XYZ Garage
CL000321,C04277,P0387,271818,2026-03-23,Submitted,XYZ Garage
CL000322,C03248,P0357,1079571,2026-03-12,Approved,XYZ Garage
CL000323,C03443,P0082,514157,2026-02-26,Approved,ABC Motors
CL000324,C00256,P0378,757221,2026-05-21,Rejected,NA
CL000325,C02294,P0085,964109,2026-04-18,Rejected,TVS Garage
CL000326,C04230,P0108,207898,2026-04-24,Approved,NA
CL000327,C00021,P0197,845848,2026-02-16,Submitted,Aster Hospital
CL000328,C00709,P0191,194509,2026-05-16,Approved,ABC Motors
CL000329,C04431,P0257,314694,2026-03-17,Approved,ABC Motors
CL000330,C02964,P0421,713792,2026-05-25,Rejected,ABC Motors
CL000331,C04496,P0304,50080,2026-04-18,Approved,Aster Hospital
CL000332,C01094,P0236,303853,2026-02-26,Submitted,ABC Motors
CL000333,C00976,P0231,1055001,2026-05-29,Approved,Aster Hospital
CL000334,C01403,P0117,989862,2026-05-27,Approved,Apollo Hospital
CL000335,C03510,P0162,572961,2026-05-19,Submitted,NA
CL000336,C03671,P0029,1159024,2026-03-13,Rejected,ABC Motors
CL000337,C04759,P0166,545190,2026-01-19,Submitted,ABC Motors
CL000338,C03447,P0255,659422,2026-03-22,Approved,XYZ Garage
CL000339,C04300,P0040,1143205,2026-05-19,Submitted,NA
CL000340,C00326,P0432,949820,2026-02-23,Rejected,XYZ Garage
CL000341,C00544,P0181,136899,2026-03-24,Rejected,XYZ Garage
CL000342,C00476,P0286,635388,2026-04-05,Submitted,XYZ Garage
CL000343,C03200,P0086,850319,2026-05-21,Approved,XYZ Garage
CL000344,C02160,P0282,1074168,2026-04-24,Rejected,Aster Hospital
CL000345,C04302,P0012,327221,2026-01-05,Submitted,ABC Motors
CL000346,C03266,P0041,317539,2026-03-02,Submitted,ABC Motors
CL000347,C00892,P0093,241158,2026-01-08,Submitted,TVS Garage
CL000348,C00723,P0281,1147770,2026-01-26,Approved,XYZ Garage
CL000349,C04424,P0268,812527,2026-01-26,Submitted,Aster Hospital
CL000350,C00218,P0333,1025362,2026-01-02,Rejected,ABC Motors
CL000351,C04883,P0019,249348,2026-01-13,Rejected,XYZ Garage
CL000352,C01081,P0113,1009830,2026-02-07,Submitted,XYZ Garage
CL000353,C01180,P0199,1161310,2026-03-01,Approved,TVS Garage
CL000354,C04190,P0340,916740,2026-03-19,Submitted,ABC Motors
CL000355,C00379,P0125,664083,2026-01-12,Rejected,ABC Motors
CL000356,C02687,P0236,1072712,2026-04-16,Submitted,NA
CL000357,C01846,P0499,401574,2026-03-28,Rejected,NA
CL000358,C03655,P0007,1021974,2026-04-24,Approved,NA
CL000359,C00832,P0393,359211,2026-02-25,Approved,TVS Garage
CL000360,C02698,P0175,90565,2026-03-23,Rejected,NA
CL000361,C00269,P0184,267292,2026-01-24,Submitted,ABC Motors
CL000362,C04944,P0346,467917,2026-05-13,Rejected,NA
CL000363,C02296,P0135,94768,2026-03-21,Rejected,XYZ Garage
CL000364,C04403,P0108,220510,2026-01-20,Rejected,Apollo Hospital
CL000365,C02528,P0455,1014757,2026-01-14,Submitted,NA
CL000366,C00839,P0386,320573,2026-02-28,Submitted,TVS Garage
CL000367,C00404,P0102,841111,2026-05-18,Rejected,Apollo Hospital
CL000368,C02657,P0322,826321,2026-05-17,Submitted,Apollo Hospital
CL000369,C00307,P0299,919365,2026-04-26,Submitted,ABC Motors
CL000370,C04406,P0028,299054,2026-03-01,Submitted,TVS Garage
CL000371,C02188,P0183,895124,2026-05-12,Rejected,TVS Garage
CL000372,C03376,P0500,993013,2026-05-28,Rejected,Apollo Hospital
CL000373,C01900,P0420,888637,2026-04-20,Rejected,Apollo Hospital
CL000374,C00544,P0222,458030,2026-02-04,Submitted,TVS Garage
CL000375,C03931,P0112,1046659,2026-05-10,Submitted,Aster Hospital
CL000376,C00976,P0182,1045841,2026-04-04,Rejected,NA
CL000377,C01313,P0308,309914,2026-04-23,Approved,Apollo Hospital
CL000378,C04171,P0202,1174482,2026-02-23,Submitted,Apollo Hospital
CL000379,C01120,P0290,187076,2026-03-26,Submitted,TVS Garage
CL000380,C02493,P0329,344256,2026-02-28,Approved,Aster Hospital
CL000381,C02459,P0047,789351,2026-04-06,Approved,XYZ Garage
CL000382,C02843,P0321,534283,2026-05-18,Approved,XYZ Garage
CL000383,C03546,P0409,816920,2026-01-07,Rejected,Aster Hospital
CL000384,C02457,P0150,806936,2026-05-01,Submitted,TVS Garage
CL000385,C03185,P0091,257548,2026-03-30,Submitted,NA
CL000386,C04689,P0183,1143464,2026-03-14,Submitted,Apollo Hospital
CL000387,C03990,P0138,241972,2026-04-19,Approved,ABC Motors
CL000388,C00025,P0173,28531,2026-02-11,Approved,Apollo Hospital
CL000389,C04208,P0341,198223,2026-04-14,Submitted,XYZ Garage
CL000390,C00589,P0331,602209,2026-01-26,Approved,TVS Garage
CL000391,C02241,P0342,1006611,2026-04-09,Submitted,Apollo Hospital
CL000392,C04840,P0131,1180548,2026-02-22,Submitted,ABC Motors
CL000393,C03685,P0148,55170,2026-02-02,Submitted,NA
CL000394,C01028,P0275,850489,2026-03-15,Submitted,NA
CL000395,C01978,P0498,423119,2026-01-08,Approved,ABC Motors
CL000396,C02850,P0497,63013,2026-05-28,Submitted,NA
CL000397,C04794,P0197,393512,2026-01-30,Submitted,Aster Hospital
CL000398,C03405,P0194,949793,2026-04-28,Approved,XYZ Garage
CL000399,C03093,P0213,868933,2026-04-22,Approved,Apollo Hospital
